transaction_id,amount,currency,status,entry_type,created_at,posted_at,ledger_reference
TXN097,1500,INR,POSTED,CREDIT,2026-09-01 16:34:07,2026-09-01 17:36:07,LED20097
TXN098,1800,INR,POSTED,CREDIT,2026-09-04 02:57:18,2026-09-04 03:46:18,LED20098
TXN099,2750,INR,POSTED,CREDIT,2026-09-01 19:03:45,2026-09-01 20:02:45,LED20099
TXN100,5000,INR,POSTED,CREDIT,2026-09-02 15:36:55,2026-09-02 15:41:55,LED20100
TXN101,6000,INR,PENDING,CREDIT,2026-09-01 17:13:30,,LED20101
TXN102,1200,INR,PENDING,CREDIT,2026-09-01 08:30:55,,LED20102
TXN103,800,INR,PENDING,CREDIT,2026-09-01 19:50:04,,LED20103
TXN104,1000,INR,PENDING,CREDIT,2026-09-01 17:16:15,,LED20104
TXN105,20000,INR,PENDING,CREDIT,2026-09-01 22:17:38,,LED20105
TXN106,4200,INR,PENDING,CREDIT,2026-09-01 20:06:58,,LED20106
TXN107,6000,INR,PENDING,CREDIT,2026-09-01 21:37:36,,LED20107
TXN108,15000,INR,PENDING,CREDIT,2026-09-01 11:21:13,,LED20108
TXN109,10000,INR,PENDING,CREDIT,2026-09-01 10:20:15,,LED20109
TXN110,800,INR,PENDING,CREDIT,2026-09-01 13:28:26,,LED20110
TXN111,7500,INR,PENDING,CREDIT,2026-09-01 22:54:02,,LED20111
TXN112,12000,INR,PENDING,CREDIT,2026-09-01 16:53:55,,LED20112
TXN113,10000,INR,PENDING,CREDIT,2026-09-01 15:53:16,,LED20113
TXN114,950,INR,PENDING,CREDIT,2026-09-01 16:26:09,,LED20114
TXN115,1000,INR,PENDING,CREDIT,2026-09-01 10:19:10,,LED20115
TXN116,15000,INR,PENDING,CREDIT,2026-09-01 17:56:07,,LED20116
TXN117,2000,INR,PENDING,CREDIT,2026-09-01 20:13:32,,LED20117
TXN118,800,INR,PENDING,CREDIT,2026-09-01 10:13:27,,LED20118
TXN119,1800,INR,PENDING,CREDIT,2026-09-01 08:42:14,,LED20119
TXN120,10000,INR,PENDING,CREDIT,2026-09-01 16:36:02,,LED20120
TXN121,4200,INR,PENDING,CREDIT,2026-09-01 23:12:17,,LED20121
TXN122,3300,INR,PENDING,CREDIT,2026-09-01 22:57:30,,LED20122
TXN123,2400,INR,PENDING,CREDIT,2026-09-01 18:24:06,,LED20123
TXN124,3300,INR,PENDING,CREDIT,2026-09-02 00:02:42,,LED20124
TXN125,20000,INR,PENDING,CREDIT,2026-09-01 09:01:05,,LED20125
TXN126,2400,INR,PENDING,CREDIT,2026-09-01 12:13:25,,LED20126
TXN127,5000,INR,PENDING,CREDIT,2026-09-01 22:32:03,,LED20127
TXN128,2750,INR,PENDING,CREDIT,2026-09-01 23:06:28,,LED20128
TXN129,1800,INR,PENDING,CREDIT,2026-09-01 13:51:18,,LED20129
TXN130,12000,INR,PENDING,CREDIT,2026-09-01 23:37:01,,LED20130
TXN131,1200,INR,PENDING,CREDIT,2026-09-01 18:50:00,,LED20131
TXN132,950,INR,PENDING,CREDIT,2026-09-02 00:07:41,,LED20132
TXN133,12000,INR,PENDING,CREDIT,2026-09-01 19:26:45,,LED20133
TXN134,4000,INR,PENDING,CREDIT,2026-09-02 00:28:29,,LED20134
TXN135,7500,INR,PENDING,CREDIT,2026-09-02 01:52:56,,LED20135
TXN136,1800,INR,PENDING,CREDIT,2026-09-01 22:22:59,,LED20136
TXN137,2000,INR,PENDING,CREDIT,2026-09-01 19:03:37,,LED20137
TXN138,3500,INR,PENDING,CREDIT,2026-09-02 01:22:21,,LED20138
TXN139,2400,INR,PENDING,CREDIT,2026-09-01 16:39:15,,LED20139
TXN140,20000,INR,PENDING,CREDIT,2026-09-01 23:01:20,,LED20140
TXN141,3000,INR,PENDING,CREDIT,2026-09-01 21:45:50,,LED20141
TXN142,1000,INR,PENDING,CREDIT,2026-09-02 02:32:21,,LED20142
TXN143,3500,INR,PENDING,CREDIT,2026-09-01 13:20:58,,LED20143
TXN144,1000,INR,PENDING,CREDIT,2026-09-01 23:26:41,,LED20144
TXN145,1800,INR,PENDING,CREDIT,2026-09-01 19:45:44,,LED20145
TXN146,2400,INR,PENDING,CREDIT,2026-09-01 21:55:40,,LED20146
TXN147,750,INR,PENDING,CREDIT,2026-09-01 12:03:40,,LED20147
TXN148,800,INR,PENDING,CREDIT,2026-09-01 22:17:48,,LED20148
TXN149,12000,INR,PENDING,CREDIT,2026-09-01 19:48:01,,LED20149
TXN150,750,INR,PENDING,CREDIT,2026-09-01 18:38:23,,LED20150
TXN151,4200,INR,PENDING,CREDIT,2026-09-01 22:48:43,,LED20151
TXN152,800,INR,PENDING,CREDIT,2026-09-01 22:38:43,,LED20152
TXN153,6000,INR,PENDING,CREDIT,2026-09-01 13:31:29,,LED20153
TXN154,10000,INR,PENDING,CREDIT,2026-09-01 10:16:51,,LED20154
TXN155,10000,INR,PENDING,CREDIT,2026-09-01 14:24:28,,LED20155
TXN156,8000,INR,POSTED,CREDIT,2026-09-01 17:54:54,2026-09-01 18:45:54,LED20156
TXN157,950,INR,POSTED,CREDIT,2026-09-01 21:55:22,2026-09-01 22:37:22,LED20157
TXN158,10000,INR,POSTED,CREDIT,2026-09-01 17:39:36,2026-09-01 18:16:36,LED20158
TXN159,2000,INR,POSTED,CREDIT,2026-09-01 20:31:40,2026-09-01 21:19:40,LED20159
TXN160,8000,INR,POSTED,CREDIT,2026-09-01 10:57:50,2026-09-01 11:31:50,LED20160
TXN161,15000,INR,POSTED,CREDIT,2026-09-01 12:25:18,2026-09-01 13:04:18,LED20161
TXN162,1250,INR,POSTED,CREDIT,2026-09-01 20:44:32,2026-09-01 21:42:32,LED20162
TXN163,4000,INR,POSTED,CREDIT,2026-09-01 20:01:07,2026-09-01 20:59:07,LED20163
TXN164,10000,INR,POSTED,CREDIT,2026-09-01 20:22:50,2026-09-01 21:23:50,LED20164
TXN165,950,INR,POSTED,CREDIT,2026-09-01 21:08:47,2026-09-01 21:55:47,LED20165
TXN166,950,INR,POSTED,CREDIT,2026-09-02 00:41:39,2026-09-02 01:09:39,LED20166
TXN167,8000,INR,POSTED,CREDIT,2026-09-02 00:25:44,2026-09-02 01:02:44,LED20167
TXN168,1000,INR,POSTED,CREDIT,2026-09-01 10:35:31,2026-09-01 11:37:31,LED20168
TXN169,1000,INR,POSTED,CREDIT,2026-09-02 00:11:42,2026-09-02 00:28:42,LED20169
TXN170,3300,INR,POSTED,CREDIT,2026-09-02 01:24:26,2026-09-02 01:51:26,LED20170
TXN171,1250,INR,POSTED,CREDIT,2026-09-01 23:59:54,2026-09-02 00:27:54,LED20171
TXN172,5000,INR,POSTED,CREDIT,2026-09-01 11:20:17,2026-09-01 11:40:17,LED20172
TXN173,800,INR,POSTED,CREDIT,2026-09-01 09:12:50,2026-09-01 10:22:50,LED20173
TXN174,1250,INR,POSTED,CREDIT,2026-09-01 16:27:13,2026-09-01 16:42:13,LED20174
TXN175,7500,INR,POSTED,CREDIT,2026-09-01 18:11:09,2026-09-01 19:00:09,LED20175
TXN216,20000,INR,REJECTED,CREDIT,2026-09-01 23:21:22,,LED20216
TXN217,2000,INR,REJECTED,CREDIT,2026-09-01 22:38:42,,LED20217
TXN218,1500,INR,REJECTED,CREDIT,2026-09-01 20:04:03,,LED20218
TXN219,2000,INR,REJECTED,CREDIT,2026-09-01 14:26:08,,LED20219
TXN220,2400,INR,REJECTED,CREDIT,2026-09-01 10:22:31,,LED20220
TXN221,1000,INR,REJECTED,CREDIT,2026-09-01 20:38:45,,LED20221
TXN222,5000,INR,REJECTED,CREDIT,2026-09-01 18:59:25,,LED20222
TXN223,500,INR,REJECTED,CREDIT,2026-09-01 23:11:04,,LED20223
TXN224,3300,INR,REJECTED,CREDIT,2026-09-01 20:22:40,,LED20224
TXN225,950,INR,REJECTED,CREDIT,2026-09-01 20:43:20,,LED20225
TXN226,7500,INR,REJECTED,CREDIT,2026-09-01 22:04:44,,LED20226
TXN227,3300,INR,REJECTED,CREDIT,2026-09-01 11:22:27,,LED20227
TXN228,800,INR,REJECTED,CREDIT,2026-09-01 20:23:19,,LED20228
TXN229,2400,INR,REJECTED,CREDIT,2026-09-01 13:11:32,,LED20229
TXN230,4200,INR,REJECTED,CREDIT,2026-09-01 14:41:49,,LED20230
TXN231,15000,INR,POSTED,CREDIT,2026-09-01 13:28:06,2026-09-01 14:21:06,LED20231
TXN232,7500,INR,POSTED,CREDIT,2026-09-01 14:38:48,2026-09-01 15:04:48,LED20232
TXN233,3500,INR,POSTED,CREDIT,2026-09-02 00:24:59,2026-09-02 00:54:59,LED20233
TXN234,1000,INR,POSTED,CREDIT,2026-09-01 23:24:30,2026-09-02 00:13:30,LED20234
TXN235,6000,INR,POSTED,CREDIT,2026-09-01 10:52:32,2026-09-01 11:37:32,LED20235
TXN236,750,INR,POSTED,CREDIT,2026-09-01 11:05:53,2026-09-01 11:26:53,LED20236
TXN237,7500,INR,POSTED,CREDIT,2026-09-02 02:23:29,2026-09-02 02:43:29,LED20237
TXN238,8000,INR,POSTED,CREDIT,2026-09-01 15:30:38,2026-09-01 16:22:38,LED20238
TXN239,3500,INR,POSTED,CREDIT,2026-09-01 12:57:57,2026-09-01 14:08:57,LED20239
TXN240,8000,INR,POSTED,CREDIT,2026-09-01 14:36:15,2026-09-01 15:19:15,LED20240
TXN241,7500,INR,POSTED,CREDIT,2026-09-01 14:50:23,2026-09-01 15:34:23,LED20241
TXN242,10000,INR,POSTED,CREDIT,2026-09-01 11:12:40,2026-09-01 11:54:40,LED20242
TXN243,5000,INR,POSTED,CREDIT,2026-09-01 21:24:16,2026-09-01 22:37:16,LED20243
TXN244,10000,INR,POSTED,CREDIT,2026-09-01 14:43:22,2026-09-01 15:11:22,LED20244
TXN245,1000,INR,POSTED,CREDIT,2026-09-01 12:10:35,2026-09-01 12:30:35,LED20245
TXN246,1000,INR,POSTED,CREDIT,2026-09-02 01:15:41,2026-09-02 01:25:41,LED20246
TXN247,2750,INR,POSTED,CREDIT,2026-09-01 09:33:19,2026-09-01 09:43:19,LED20247
TXN248,2400,INR,POSTED,CREDIT,2026-09-02 00:22:14,2026-09-02 00:32:14,LED20248
TXN249,800,INR,POSTED,CREDIT,2026-09-01 19:04:50,2026-09-01 19:14:50,LED20249
TXN250,20000,INR,POSTED,CREDIT,2026-09-02 01:12:42,2026-09-02 01:22:42,LED20250
TXN251,20000,INR,POSTED,CREDIT,2026-09-01 13:48:24,2026-09-01 13:58:24,LED20251
TXN252,1200,INR,POSTED,CREDIT,2026-09-01 14:56:28,2026-09-01 15:06:28,LED20252
TXN253,2750,INR,POSTED,CREDIT,2026-09-01 16:38:39,2026-09-01 16:48:39,LED20253
TXN254,15000,INR,POSTED,CREDIT,2026-09-01 23:24:34,2026-09-01 23:34:34,LED20254
TXN255,4000,INR,POSTED,CREDIT,2026-09-01 15:33:43,2026-09-01 15:43:43,LED20255
TXN256,20000,INR,POSTED,CREDIT,2026-09-01 18:59:24,2026-09-01 19:09:24,LED20256
TXN257,1250,INR,POSTED,CREDIT,2026-09-01 14:05:16,2026-09-01 14:15:16,LED20257
TXN258,4000,INR,POSTED,CREDIT,2026-09-01 20:45:59,2026-09-01 20:55:59,LED20258
TXN259,4200,INR,POSTED,CREDIT,2026-09-01 12:28:05,2026-09-01 12:38:05,LED20259
TXN260,3500,INR,POSTED,CREDIT,2026-09-02 01:19:53,2026-09-02 01:29:53,LED20260
TXN261,1500,INR,POSTED,CREDIT,2026-09-02 00:22:22,2026-09-02 01:13:22,LED20261
TXN262,2750,INR,POSTED,CREDIT,2026-09-01 16:45:05,2026-09-01 17:28:05,LED20262
TXN263,12000,INR,POSTED,CREDIT,2026-09-01 20:49:09,2026-09-01 21:06:09,LED20263
TXN264,12000,INR,POSTED,CREDIT,2026-09-01 13:49:45,2026-09-01 14:51:45,LED20264
TXN265,500,INR,POSTED,CREDIT,2026-09-01 18:00:53,2026-09-01 18:33:53,LED20265
TXN266,4200,INR,POSTED,CREDIT,2026-09-01 22:15:49,2026-09-01 23:09:49,LED20266
TXN267,1500,INR,POSTED,CREDIT,2026-09-01 23:34:50,2026-09-01 23:56:50,LED20267
TXN268,7500,INR,POSTED,CREDIT,2026-09-01 10:08:32,2026-09-01 10:41:32,LED20268
TXN269,7500,INR,POSTED,CREDIT,2026-09-01 20:58:36,2026-09-01 21:18:36,LED20269
TXN270,4200,INR,POSTED,CREDIT,2026-09-01 20:35:33,2026-09-01 21:06:33,LED20270
TXN271,8000,INR,PENDING,CREDIT,2026-09-01 19:15:16,,LED20271
TXN272,800,INR,PENDING,CREDIT,2026-09-01 18:34:46,,LED20272
TXN273,6000,INR,PENDING,CREDIT,2026-09-01 17:12:02,,LED20273
TXN274,2400,INR,PENDING,CREDIT,2026-09-01 13:07:49,,LED20274
TXN275,4000,INR,PENDING,CREDIT,2026-09-01 13:06:08,,LED20275
TXN276,20000,INR,PENDING,CREDIT,2026-09-01 20:34:18,,LED20276
TXN277,1250,INR,PENDING,CREDIT,2026-09-01 08:22:59,,LED20277
TXN278,3000,INR,PENDING,CREDIT,2026-09-01 22:04:02,,LED20278
TXN279,2750,INR,PENDING,CREDIT,2026-09-01 08:42:41,,LED20279
TXN280,950,INR,PENDING,CREDIT,2026-09-01 18:44:56,,LED20280
