transaction_id,batch_id,amount,currency,status,received_at,settled_at,bank_reference
TXN057,BATCH5005,500,INR,SETTLED,03-09-2026 16:13,03-09-2026 17:22,BNK10057
TXN058,BATCH5005,7500,INR,SETTLED,02-09-2026 12:55,02-09-2026 14:06,BNK10058
TXN059,BATCH5005,2400,INR,SETTLED,02-09-2026 18:22,02-09-2026 20:18,BNK10059
TXN060,BATCH5006,10000,INR,SETTLED,03-09-2026 14:22,03-09-2026 16:15,BNK10060
TXN061,BATCH5006,2000,INR,SETTLED,02-09-2026 15:26,02-09-2026 16:56,BNK10061
TXN062,BATCH5006,10000,INR,SETTLED,02-09-2026 02:18,02-09-2026 02:36,BNK10062
TXN063,BATCH5006,4200,INR,SETTLED,03-09-2026 19:57,03-09-2026 20:25,BNK10063
TXN064,BATCH5006,1250,INR,SETTLED,01-09-2026 09:38,01-09-2026 10:57,BNK10064
TXN065,BATCH5006,3500,INR,SETTLED,02-09-2026 15:51,02-09-2026 17:11,BNK10065
TXN066,BATCH5006,1000,INR,SETTLED,03-09-2026 09:45,03-09-2026 11:12,BNK10066
TXN067,BATCH5006,12000,INR,SETTLED,03-09-2026 21:34,04-09-2026 00:33,BNK10067
TXN068,BATCH5006,3500,INR,SETTLED,04-09-2026 01:28,04-09-2026 03:15,BNK10068
TXN069,BATCH5006,3300,INR,SETTLED,03-09-2026 23:52,04-09-2026 01:14,BNK10069
TXN070,BATCH5007,8000,INR,SETTLED,03-09-2026 00:41,03-09-2026 03:00,BNK10070
TXN071,BATCH5007,12000,INR,SETTLED,02-09-2026 16:35,02-09-2026 17:23,BNK10071
TXN072,BATCH5007,1000,INR,SETTLED,01-09-2026 20:00,01-09-2026 23:11,BNK10072
TXN073,BATCH5007,2400,INR,SETTLED,03-09-2026 23:13,04-09-2026 00:51,BNK10073
TXN074,BATCH5007,12000,INR,SETTLED,01-09-2026 20:46,01-09-2026 23:19,BNK10074
TXN075,BATCH5007,3300,INR,SETTLED,03-09-2026 16:22,03-09-2026 18:03,BNK10075
TXN076,BATCH5007,3000,INR,SETTLED,02-09-2026 20:18,02-09-2026 23:26,BNK10076
TXN077,BATCH5007,500,INR,SETTLED,02-09-2026 07:39,02-09-2026 11:01,BNK10077
TXN078,BATCH5007,1200,INR,SETTLED,01-09-2026 17:20,01-09-2026 18:45,BNK10078
TXN079,BATCH5007,20000,INR,SETTLED,02-09-2026 16:52,02-09-2026 19:42,BNK10079
TXN080,BATCH5008,4000,INR,SETTLED,01-09-2026 11:08,01-09-2026 11:25,BNK10080
TXN081,BATCH5008,1500,INR,SETTLED,01-09-2026 08:11,01-09-2026 11:10,BNK10081
TXN082,BATCH5008,6000,INR,SETTLED,01-09-2026 22:26,02-09-2026 01:23,BNK10082
TXN083,BATCH5008,15000,INR,SETTLED,03-09-2026 12:08,03-09-2026 13:56,BNK10083
TXN084,BATCH5008,500,INR,SETTLED,02-09-2026 19:44,02-09-2026 23:03,BNK10084
TXN085,BATCH5008,950,INR,SETTLED,03-09-2026 19:18,03-09-2026 20:45,BNK10085
TXN086,BATCH5008,2750,INR,SETTLED,03-09-2026 22:51,04-09-2026 00:24,BNK10086
TXN087,BATCH5008,500,INR,SETTLED,03-09-2026 00:48,03-09-2026 02:04,BNK10087
TXN088,BATCH5008,12000,INR,SETTLED,01-09-2026 22:48,02-09-2026 00:03,BNK10088
TXN089,BATCH5008,20000,INR,SETTLED,02-09-2026 22:49,03-09-2026 01:22,BNK10089
TXN090,BATCH5009,800,INR,SETTLED,02-09-2026 23:40,03-09-2026 00:55,BNK10090
TXN091,BATCH5009,2400,INR,SETTLED,02-09-2026 00:58,02-09-2026 02:08,BNK10091
TXN092,BATCH5009,1800,INR,SETTLED,02-09-2026 18:18,02-09-2026 18:57,BNK10092
TXN093,BATCH5009,1250,INR,SETTLED,01-09-2026 17:08,01-09-2026 18:35,BNK10093
TXN094,BATCH5009,12000,INR,SETTLED,02-09-2026 22:51,03-09-2026 01:47,BNK10094
TXN095,BATCH5009,3000,INR,SETTLED,03-09-2026 16:20,03-09-2026 17:55,BNK10095
TXN096,BATCH5009,2750,INR,SETTLED,02-09-2026 18:31,02-09-2026 20:42,BNK10096
TXN097,BATCH5009,1500,INR,SETTLED,01-09-2026 14:09,01-09-2026 16:34,BNK10097
TXN098,BATCH5009,1800,INR,SETTLED,04-09-2026 00:27,04-09-2026 02:57,BNK10098
TXN099,BATCH5009,2750,INR,SETTLED,01-09-2026 17:10,01-09-2026 19:03,BNK10099
TXN100,BATCH5010,5000,INR,SETTLED,02-09-2026 12:06,02-09-2026 15:36,BNK10100
TXN101,BATCH5010,6000,INR,PENDING,01-09-2026 17:13,,BNK10101
TXN102,BATCH5010,1200,INR,PENDING,01-09-2026 08:30,,BNK10102
TXN103,BATCH5010,800,INR,PENDING,01-09-2026 19:50,,BNK10103
TXN104,BATCH5010,1000,INR,PENDING,01-09-2026 17:16,,BNK10104
TXN105,BATCH5010,20000,INR,PENDING,01-09-2026 22:17,,BNK10105
TXN106,BATCH5010,4200,INR,PENDING,01-09-2026 20:06,,BNK10106
TXN107,BATCH5010,6000,INR,PENDING,01-09-2026 21:37,,BNK10107
TXN108,BATCH5010,15000,INR,PENDING,01-09-2026 11:21,,BNK10108
TXN109,BATCH5010,10000,INR,PENDING,01-09-2026 10:20,,BNK10109
TXN110,BATCH5011,800,INR,PENDING,01-09-2026 13:28,,BNK10110
TXN111,BATCH5011,7500,INR,PENDING,01-09-2026 22:54,,BNK10111
TXN112,BATCH5011,12000,INR,PENDING,01-09-2026 16:53,,BNK10112
TXN113,BATCH5011,10000,INR,PENDING,01-09-2026 15:53,,BNK10113
TXN114,BATCH5011,950,INR,PENDING,01-09-2026 16:26,,BNK10114
TXN115,BATCH5011,1000,INR,PENDING,01-09-2026 10:19,,BNK10115
TXN116,BATCH5011,15000,INR,PENDING,01-09-2026 17:56,,BNK10116
TXN117,BATCH5011,2000,INR,PENDING,01-09-2026 20:13,,BNK10117
TXN118,BATCH5011,800,INR,PENDING,01-09-2026 10:13,,BNK10118
TXN119,BATCH5011,1800,INR,PENDING,01-09-2026 08:42,,BNK10119
TXN120,BATCH5012,10000,INR,PENDING,01-09-2026 16:36,,BNK10120
TXN121,BATCH5012,4200,INR,PENDING,01-09-2026 23:12,,BNK10121
TXN122,BATCH5012,3300,INR,PENDING,01-09-2026 22:57,,BNK10122
TXN123,BATCH5012,2400,INR,PENDING,01-09-2026 18:24,,BNK10123
TXN124,BATCH5012,3300,INR,PENDING,02-09-2026 00:02,,BNK10124
TXN125,BATCH5012,20000,INR,PENDING,01-09-2026 09:01,,BNK10125
TXN126,BATCH5012,2400,INR,PENDING,01-09-2026 12:13,,BNK10126
TXN127,BATCH5012,5000,INR,PENDING,01-09-2026 22:32,,BNK10127
TXN128,BATCH5012,2750,INR,PENDING,01-09-2026 23:06,,BNK10128
TXN129,BATCH5012,1800,INR,PENDING,01-09-2026 13:51,,BNK10129
TXN130,BATCH5013,12000,INR,PENDING,01-09-2026 23:37,,BNK10130
TXN131,BATCH5013,1200,INR,SETTLED,01-09-2026 16:46,01-09-2026 18:50,BNK10131
TXN132,BATCH5013,950,INR,SETTLED,01-09-2026 22:10,02-09-2026 00:07,BNK10132
TXN133,BATCH5013,12000,INR,SETTLED,01-09-2026 17:25,01-09-2026 19:26,BNK10133
TXN134,BATCH5013,4000,INR,SETTLED,01-09-2026 23:04,02-09-2026 00:28,BNK10134
TXN135,BATCH5013,7500,INR,SETTLED,02-09-2026 01:37,02-09-2026 01:52,BNK10135
TXN136,BATCH5013,1800,INR,SETTLED,01-09-2026 22:06,01-09-2026 22:22,BNK10136
TXN137,BATCH5013,2000,INR,SETTLED,01-09-2026 18:43,01-09-2026 19:03,BNK10137
TXN138,BATCH5013,3500,INR,SETTLED,01-09-2026 23:20,02-09-2026 01:22,BNK10138
TXN139,BATCH5013,2400,INR,SETTLED,01-09-2026 14:13,01-09-2026 16:39,BNK10139
TXN140,BATCH5014,20000,INR,SETTLED,01-09-2026 21:32,01-09-2026 23:01,BNK10140
TXN141,BATCH5014,3000,INR,SETTLED,01-09-2026 20:45,01-09-2026 21:45,BNK10141
TXN142,BATCH5014,1000,INR,SETTLED,02-09-2026 01:28,02-09-2026 02:32,BNK10142
TXN143,BATCH5014,3500,INR,SETTLED,01-09-2026 10:34,01-09-2026 13:20,BNK10143
TXN144,BATCH5014,1000,INR,SETTLED,01-09-2026 21:04,01-09-2026 23:26,BNK10144
TXN145,BATCH5014,1800,INR,SETTLED,01-09-2026 19:02,01-09-2026 19:45,BNK10145
TXN146,BATCH5014,2400,INR,SETTLED,01-09-2026 21:11,01-09-2026 21:55,BNK10146
TXN147,BATCH5014,750,INR,SETTLED,01-09-2026 09:44,01-09-2026 12:03,BNK10147
TXN148,BATCH5014,800,INR,SETTLED,01-09-2026 21:02,01-09-2026 22:17,BNK10148
TXN149,BATCH5014,12000,INR,SETTLED,01-09-2026 17:38,01-09-2026 19:48,BNK10149
TXN150,BATCH5015,750,INR,SETTLED,01-09-2026 16:40,01-09-2026 18:38,BNK10150
TXN151,BATCH5015,4200,INR,SETTLED,01-09-2026 20:57,01-09-2026 22:48,BNK10151
TXN152,BATCH5015,800,INR,SETTLED,01-09-2026 20:42,01-09-2026 22:38,BNK10152
TXN153,BATCH5015,6000,INR,SETTLED,01-09-2026 12:12,01-09-2026 13:31,BNK10153
TXN154,BATCH5015,10000,INR,SETTLED,01-09-2026 09:52,01-09-2026 10:16,BNK10154
TXN155,BATCH5015,10000,INR,SETTLED,01-09-2026 13:19,01-09-2026 14:24,BNK10155
TXN156,BATCH5015,8100,INR,SETTLED,01-09-2026 15:54,01-09-2026 17:54,BNK10156
TXN157,BATCH5015,850,INR,SETTLED,01-09-2026 21:05,01-09-2026 21:55,BNK10157
TXN158,BATCH5015,10100,INR,SETTLED,01-09-2026 16:56,01-09-2026 17:39,BNK10158
TXN159,BATCH5015,1900,INR,SETTLED,01-09-2026 19:33,01-09-2026 20:31,BNK10159
TXN160,BATCH5016,7800,INR,SETTLED,01-09-2026 08:23,01-09-2026 10:57,BNK10160
TXN161,BATCH5016,14850,INR,SETTLED,01-09-2026 11:33,01-09-2026 12:25,BNK10161
TXN162,BATCH5016,1100,INR,SETTLED,01-09-2026 20:19,01-09-2026 20:44,BNK10162
TXN163,BATCH5016,3950,INR,SETTLED,01-09-2026 18:00,01-09-2026 20:01,BNK10163
TXN164,BATCH5016,10100,INR,SETTLED,01-09-2026 18:06,01-09-2026 20:22,BNK10164
TXN165,BATCH5016,1150,INR,SETTLED,01-09-2026 19:57,01-09-2026 21:08,BNK10165
TXN166,BATCH5016,850,INR,SETTLED,01-09-2026 23:58,02-09-2026 00:41,BNK10166
TXN167,BATCH5016,7800,INR,SETTLED,01-09-2026 23:21,02-09-2026 00:25,BNK10167
TXN168,BATCH5016,700,INR,SETTLED,01-09-2026 08:31,01-09-2026 10:35,BNK10168
TXN169,BATCH5016,1100,INR,SETTLED,01-09-2026 22:38,02-09-2026 00:11,BNK10169
TXN170,BATCH5017,3100,INR,SETTLED,01-09-2026 22:43,02-09-2026 01:24,BNK10170
TXN171,BATCH5017,1450,INR,SETTLED,01-09-2026 21:27,01-09-2026 23:59,BNK10171
TXN172,BATCH5017,5050,INR,SETTLED,01-09-2026 08:40,01-09-2026 11:20,BNK10172
TXN173,BATCH5017,700,INR,SETTLED,01-09-2026 07:34,01-09-2026 09:12,BNK10173
TXN174,BATCH5017,1050,INR,SETTLED,01-09-2026 14:19,01-09-2026 16:27,BNK10174
TXN175,BATCH5017,7200,INR,SETTLED,01-09-2026 17:03,01-09-2026 18:11,BNK10175
TXN216,BATCH5021,20000,INR,REJECTED,01-09-2026 23:21,,BNK10216
TXN217,BATCH5021,2000,INR,REJECTED,01-09-2026 22:38,,BNK10217
TXN218,BATCH5021,1500,INR,REJECTED,01-09-2026 20:04,,BNK10218
TXN219,BATCH5021,2000,INR,REJECTED,01-09-2026 14:26,,BNK10219
TXN220,BATCH5022,2400,INR,REJECTED,01-09-2026 10:22,,BNK10220
TXN221,BATCH5022,1000,INR,REJECTED,01-09-2026 20:38,,BNK10221
TXN222,BATCH5022,5000,INR,REJECTED,01-09-2026 18:59,,BNK10222
TXN223,BATCH5022,500,INR,REJECTED,01-09-2026 23:11,,BNK10223
TXN224,BATCH5022,3300,INR,REJECTED,01-09-2026 20:22,,BNK10224
TXN225,BATCH5022,950,INR,REJECTED,01-09-2026 20:43,,BNK10225
TXN226,BATCH5022,7500,INR,REJECTED,01-09-2026 22:04,,BNK10226
TXN227,BATCH5022,3300,INR,REJECTED,01-09-2026 11:22,,BNK10227
TXN228,BATCH5022,800,INR,REJECTED,01-09-2026 20:23,,BNK10228
TXN229,BATCH5022,2400,INR,REJECTED,01-09-2026 13:11,,BNK10229
TXN230,BATCH5023,4200,INR,REJECTED,01-09-2026 14:41,,BNK10230
TXN231,BATCH5023,15000,USD,SETTLED,01-09-2026 11:47,01-09-2026 13:28,BNK10231
TXN232,BATCH5023,7500,USD,SETTLED,01-09-2026 12:10,01-09-2026 14:38,BNK10232
TXN233,BATCH5023,3500,USD,SETTLED,01-09-2026 23:33,02-09-2026 00:24,BNK10233
TXN234,BATCH5023,1000,USD,SETTLED,01-09-2026 22:24,01-09-2026 23:24,BNK10234
TXN235,BATCH5023,6000,USD,SETTLED,01-09-2026 09:01,01-09-2026 10:52,BNK10235
TXN236,BATCH5023,750,USD,SETTLED,01-09-2026 08:32,01-09-2026 11:05,BNK10236
TXN237,BATCH5023,7500,USD,SETTLED,02-09-2026 00:21,02-09-2026 02:23,BNK10237
TXN238,BATCH5023,8000,USD,SETTLED,01-09-2026 14:24,01-09-2026 15:30,BNK10238
TXN239,BATCH5023,3500,USD,SETTLED,01-09-2026 12:22,01-09-2026 12:57,BNK10239
TXN240,BATCH5024,8000,USD,SETTLED,01-09-2026 12:58,01-09-2026 14:36,BNK10240
TXN241,BATCH5024,7500,USD,SETTLED,01-09-2026 13:12,01-09-2026 14:50,BNK10241
TXN242,BATCH5024,10000,USD,SETTLED,01-09-2026 08:58,01-09-2026 11:12,BNK10242
TXN243,BATCH5024,5000,USD,SETTLED,01-09-2026 20:00,01-09-2026 21:24,BNK10243
TXN244,BATCH5024,10000,USD,SETTLED,01-09-2026 13:21,01-09-2026 14:43,BNK10244
TXN245,BATCH5024,1000,USD,SETTLED,01-09-2026 10:41,01-09-2026 12:10,BNK10245
TXN246,BATCH5024,1000,INR,SETTLED,02-09-2026 00:10,02-09-2026 02:05,BNK10246
TXN247,BATCH5024,2750,INR,SETTLED,01-09-2026 07:50,01-09-2026 10:23,BNK10247
TXN248,BATCH5024,2400,INR,SETTLED,01-09-2026 22:31,02-09-2026 01:12,BNK10248
TXN249,BATCH5024,800,INR,SETTLED,01-09-2026 17:58,01-09-2026 19:54,BNK10249
TXN250,BATCH5025,20000,INR,SETTLED,02-09-2026 00:54,02-09-2026 02:02,BNK10250
TXN251,BATCH5025,20000,INR,SETTLED,01-09-2026 11:58,01-09-2026 14:38,BNK10251
TXN252,BATCH5025,1200,INR,SETTLED,01-09-2026 13:38,01-09-2026 15:46,BNK10252
TXN253,BATCH5025,2750,INR,SETTLED,01-09-2026 16:04,01-09-2026 17:28,BNK10253
TXN254,BATCH5025,15000,INR,SETTLED,01-09-2026 21:53,02-09-2026 00:14,BNK10254
TXN255,BATCH5025,4000,INR,SETTLED,01-09-2026 14:22,01-09-2026 16:23,BNK10255
TXN256,BATCH5025,20000,INR,SETTLED,01-09-2026 17:09,01-09-2026 19:49,BNK10256
TXN257,BATCH5025,1250,INR,SETTLED,01-09-2026 13:17,01-09-2026 14:55,BNK10257
TXN258,BATCH5025,4000,INR,SETTLED,01-09-2026 20:06,01-09-2026 21:35,BNK10258
TXN259,BATCH5025,4200,INR,SETTLED,01-09-2026 10:52,01-09-2026 13:18,BNK10259
TXN260,BATCH5026,3500,INR,SETTLED,01-09-2026 23:20,02-09-2026 02:09,BNK10260
TXN261,BATCH5026,1500,INR,SETTLED,01-09-2026 22:02,02-09-2026 00:22,BNK10261
TXN262,BATCH5026,2750,INR,SETTLED,01-09-2026 14:27,01-09-2026 16:45,BNK10262
TXN263,BATCH5026,12000,INR,SETTLED,01-09-2026 18:26,01-09-2026 20:49,BNK10263
TXN264,BATCH5026,12000,INR,SETTLED,01-09-2026 13:06,01-09-2026 13:49,BNK10264
TXN265,BATCH5026,500,INR,SETTLED,01-09-2026 17:13,01-09-2026 18:00,BNK10265
TXN266,BATCH5026,4200,INR,SETTLED,01-09-2026 20:45,01-09-2026 22:15,BNK10266
TXN267,BATCH5026,1500,INR,SETTLED,01-09-2026 20:54,01-09-2026 23:34,BNK10267
TXN268,BATCH5026,7500,INR,SETTLED,01-09-2026 08:17,01-09-2026 10:08,BNK10268
TXN269,BATCH5026,7500,INR,SETTLED,01-09-2026 19:40,01-09-2026 20:58,BNK10269
TXN270,BATCH5027,4200,INR,SETTLED,01-09-2026 19:55,01-09-2026 20:35,BNK10270
TXN271,BATCH5027,8000,INR,PENDING,01-09-2026 19:15,,BNK10271
TXN272,BATCH5027,800,INR,PENDING,01-09-2026 18:34,,BNK10272
TXN273,BATCH5027,6000,INR,PENDING,01-09-2026 17:12,,BNK10273
TXN274,BATCH5027,2400,INR,PENDING,01-09-2026 13:07,,BNK10274
TXN275,BATCH5027,4000,INR,PENDING,01-09-2026 13:06,,BNK10275
TXN276,BATCH5027,20000,INR,PENDING,01-09-2026 20:34,,BNK10276
TXN277,BATCH5027,1250,INR,PENDING,01-09-2026 08:22,,BNK10277
TXN278,BATCH5027,3000,INR,PENDING,01-09-2026 22:04,,BNK10278
TXN279,BATCH5027,2750,INR,PENDING,01-09-2026 08:42,,BNK10279
TXN280,BATCH5028,950,INR,PENDING,01-09-2026 18:44,,BNK10280
