transaction_id,order_id,amount,currency,status,created_at,captured_at,settlement_batch
TXN045,ORD045,750,INR,CAPTURED,01-09-2026 19:53,01-09-2026 19:53,BATCH5004
TXN046,ORD046,8000,INR,CAPTURED,02-09-2026 11:47,02-09-2026 11:47,BATCH5004
TXN047,ORD047,800,INR,CAPTURED,03-09-2026 10:34,03-09-2026 10:34,BATCH5004
TXN048,ORD048,3300,INR,CAPTURED,01-09-2026 07:19,01-09-2026 07:19,BATCH5004
TXN049,ORD049,10000,INR,CAPTURED,01-09-2026 17:49,01-09-2026 17:49,BATCH5004
TXN050,ORD050,1500,INR,CAPTURED,01-09-2026 11:56,01-09-2026 11:56,BATCH5005
TXN051,ORD051,3300,INR,CAPTURED,03-09-2026 13:17,03-09-2026 13:17,BATCH5005
TXN052,ORD052,4000,INR,CAPTURED,01-09-2026 12:52,01-09-2026 12:53,BATCH5005
TXN053,ORD053,1500,INR,CAPTURED,01-09-2026 12:25,01-09-2026 12:25,BATCH5005
TXN054,ORD054,2750,INR,CAPTURED,03-09-2026 22:25,03-09-2026 22:25,BATCH5005
TXN055,ORD055,1200,INR,CAPTURED,03-09-2026 14:02,03-09-2026 14:02,BATCH5005
TXN056,ORD056,3300,INR,CAPTURED,03-09-2026 22:07,03-09-2026 22:07,BATCH5005
TXN057,ORD057,500,INR,CAPTURED,03-09-2026 12:23,03-09-2026 12:23,BATCH5005
TXN058,ORD058,7500,INR,CAPTURED,02-09-2026 09:46,02-09-2026 09:47,BATCH5005
TXN059,ORD059,2400,INR,CAPTURED,02-09-2026 15:35,02-09-2026 15:35,BATCH5005
TXN060,ORD060,10000,INR,CAPTURED,03-09-2026 11:39,03-09-2026 11:39,BATCH5006
TXN061,ORD061,2000,INR,CAPTURED,02-09-2026 12:27,02-09-2026 12:27,BATCH5006
TXN062,ORD062,10000,INR,CAPTURED,01-09-2026 22:30,01-09-2026 22:30,BATCH5006
TXN063,ORD063,4200,INR,CAPTURED,03-09-2026 16:05,03-09-2026 16:05,BATCH5006
TXN064,ORD064,1250,INR,CAPTURED,01-09-2026 06:02,01-09-2026 06:02,BATCH5006
TXN065,ORD065,3500,INR,CAPTURED,02-09-2026 12:45,02-09-2026 12:45,BATCH5006
TXN066,ORD066,1000,INR,CAPTURED,03-09-2026 06:57,03-09-2026 06:57,BATCH5006
TXN067,ORD067,12000,INR,CAPTURED,03-09-2026 20:03,03-09-2026 20:03,BATCH5006
TXN068,ORD068,3500,INR,CAPTURED,03-09-2026 22:35,03-09-2026 22:35,BATCH5006
TXN069,ORD069,3300,INR,CAPTURED,03-09-2026 20:57,03-09-2026 20:57,BATCH5006
TXN070,ORD070,8000,INR,CAPTURED,02-09-2026 22:31,02-09-2026 22:31,BATCH5007
TXN071,ORD071,12000,INR,CAPTURED,02-09-2026 13:17,02-09-2026 13:17,BATCH5007
TXN072,ORD072,1000,INR,CAPTURED,01-09-2026 18:44,01-09-2026 18:44,BATCH5007
TXN073,ORD073,2400,INR,CAPTURED,03-09-2026 20:26,03-09-2026 20:26,BATCH5007
TXN074,ORD074,12000,INR,CAPTURED,01-09-2026 18:30,01-09-2026 18:30,BATCH5007
TXN075,ORD075,3300,INR,CAPTURED,03-09-2026 13:31,03-09-2026 13:31,BATCH5007
TXN076,ORD076,3000,INR,CAPTURED,02-09-2026 18:46,02-09-2026 18:46,BATCH5007
TXN077,ORD077,500,INR,CAPTURED,02-09-2026 06:05,02-09-2026 06:05,BATCH5007
TXN078,ORD078,1200,INR,CAPTURED,01-09-2026 14:24,01-09-2026 14:24,BATCH5007
TXN079,ORD079,20000,INR,CAPTURED,02-09-2026 14:48,02-09-2026 14:49,BATCH5007
TXN080,ORD080,4000,INR,CAPTURED,01-09-2026 07:22,01-09-2026 07:22,BATCH5008
TXN081,ORD081,1500,INR,CAPTURED,01-09-2026 06:39,01-09-2026 06:39,BATCH5008
TXN082,ORD082,6000,INR,CAPTURED,01-09-2026 20:44,01-09-2026 20:44,BATCH5008
TXN083,ORD083,15000,INR,CAPTURED,03-09-2026 09:49,03-09-2026 09:49,BATCH5008
TXN084,ORD084,500,INR,CAPTURED,02-09-2026 18:25,02-09-2026 18:25,BATCH5008
TXN085,ORD085,950,INR,CAPTURED,03-09-2026 15:54,03-09-2026 15:54,BATCH5008
TXN086,ORD086,2750,INR,CAPTURED,03-09-2026 19:42,03-09-2026 19:42,BATCH5008
TXN087,ORD087,500,INR,CAPTURED,02-09-2026 21:06,02-09-2026 21:06,BATCH5008
TXN088,ORD088,12000,INR,CAPTURED,01-09-2026 19:11,01-09-2026 19:11,BATCH5008
TXN089,ORD089,20000,INR,CAPTURED,02-09-2026 20:27,02-09-2026 20:27,BATCH5008
TXN090,ORD090,800,INR,CAPTURED,02-09-2026 20:15,02-09-2026 20:15,BATCH5009
TXN091,ORD091,2400,INR,CAPTURED,01-09-2026 21:54,01-09-2026 21:54,BATCH5009
TXN092,ORD092,1800,INR,CAPTURED,02-09-2026 14:56,02-09-2026 14:56,BATCH5009
TXN093,ORD093,1250,INR,CAPTURED,01-09-2026 13:46,01-09-2026 13:46,BATCH5009
TXN094,ORD094,12000,INR,CAPTURED,02-09-2026 21:28,02-09-2026 21:28,BATCH5009
TXN095,ORD095,3000,INR,CAPTURED,03-09-2026 13:19,03-09-2026 13:19,BATCH5009
TXN096,ORD096,2750,INR,CAPTURED,02-09-2026 16:22,02-09-2026 16:22,BATCH5009
TXN097,ORD097,1500,INR,CAPTURED,01-09-2026 12:20,01-09-2026 12:20,BATCH5009
TXN098,ORD098,1800,INR,CAPTURED,03-09-2026 22:38,03-09-2026 22:38,BATCH5009
TXN099,ORD099,2750,INR,CAPTURED,01-09-2026 15:00,01-09-2026 15:00,BATCH5009
TXN100,ORD100,5000,INR,CAPTURED,02-09-2026 10:40,02-09-2026 10:41,BATCH5010
TXN101,ORD101,6000,INR,CAPTURED,01-09-2026 15:30,01-09-2026 15:30,BATCH5010
TXN102,ORD102,1200,INR,CAPTURED,01-09-2026 07:16,01-09-2026 07:17,BATCH5010
TXN103,ORD103,800,INR,CAPTURED,01-09-2026 18:31,01-09-2026 18:31,BATCH5010
TXN104,ORD104,1000,INR,CAPTURED,01-09-2026 15:05,01-09-2026 15:05,BATCH5010
TXN105,ORD105,20000,INR,CAPTURED,01-09-2026 19:38,01-09-2026 19:38,BATCH5010
TXN106,ORD106,4200,INR,CAPTURED,01-09-2026 18:28,01-09-2026 18:29,BATCH5010
TXN107,ORD107,6000,INR,CAPTURED,01-09-2026 19:19,01-09-2026 19:19,BATCH5010
TXN108,ORD108,15000,INR,CAPTURED,01-09-2026 09:48,01-09-2026 09:48,BATCH5010
TXN109,ORD109,10000,INR,CAPTURED,01-09-2026 08:10,01-09-2026 08:10,BATCH5010
TXN110,ORD110,800,INR,CAPTURED,01-09-2026 11:00,01-09-2026 11:00,BATCH5011
TXN111,ORD111,7500,INR,CAPTURED,01-09-2026 21:18,01-09-2026 21:18,BATCH5011
TXN112,ORD112,12000,INR,CAPTURED,01-09-2026 15:44,01-09-2026 15:45,BATCH5011
TXN113,ORD113,10000,INR,CAPTURED,01-09-2026 13:59,01-09-2026 13:59,BATCH5011
TXN114,ORD114,950,INR,CAPTURED,01-09-2026 13:41,01-09-2026 13:41,BATCH5011
TXN115,ORD115,1000,INR,CAPTURED,01-09-2026 08:03,01-09-2026 08:03,BATCH5011
TXN116,ORD116,15000,INR,CAPTURED,01-09-2026 15:28,01-09-2026 15:28,BATCH5011
TXN117,ORD117,2000,INR,CAPTURED,01-09-2026 18:17,01-09-2026 18:17,BATCH5011
TXN118,ORD118,800,INR,CAPTURED,01-09-2026 07:56,01-09-2026 07:56,BATCH5011
TXN119,ORD119,1800,INR,CAPTURED,01-09-2026 06:05,01-09-2026 06:05,BATCH5011
TXN120,ORD120,10000,INR,CAPTURED,01-09-2026 14:36,01-09-2026 14:36,BATCH5012
TXN121,ORD121,4200,INR,CAPTURED,01-09-2026 20:58,01-09-2026 20:58,BATCH5012
TXN122,ORD122,3300,INR,CAPTURED,01-09-2026 21:05,01-09-2026 21:05,BATCH5012
TXN123,ORD123,2400,INR,CAPTURED,01-09-2026 16:42,01-09-2026 16:42,BATCH5012
TXN124,ORD124,3300,INR,CAPTURED,01-09-2026 21:18,01-09-2026 21:18,BATCH5012
TXN125,ORD125,20000,INR,CAPTURED,01-09-2026 07:29,01-09-2026 07:29,BATCH5012
TXN126,ORD126,2400,INR,CAPTURED,01-09-2026 09:49,01-09-2026 09:49,BATCH5012
TXN127,ORD127,5000,INR,CAPTURED,01-09-2026 20:26,01-09-2026 20:26,BATCH5012
TXN128,ORD128,2750,INR,CAPTURED,01-09-2026 21:40,01-09-2026 21:40,BATCH5012
TXN129,ORD129,1800,INR,CAPTURED,01-09-2026 10:59,01-09-2026 10:59,BATCH5012
TXN130,ORD130,12000,INR,CAPTURED,01-09-2026 21:07,01-09-2026 21:07,BATCH5013
TXN131,ORD131,1200,INR,CAPTURED,01-09-2026 15:35,01-09-2026 15:35,BATCH5013
TXN132,ORD132,950,INR,CAPTURED,01-09-2026 20:07,01-09-2026 20:07,BATCH5013
TXN133,ORD133,12000,INR,CAPTURED,01-09-2026 15:32,01-09-2026 15:32,BATCH5013
TXN134,ORD134,4000,INR,CAPTURED,01-09-2026 21:15,01-09-2026 21:15,BATCH5013
TXN135,ORD135,7500,INR,CAPTURED,01-09-2026 22:47,01-09-2026 22:48,BATCH5013
TXN136,ORD136,1800,INR,CAPTURED,01-09-2026 19:21,01-09-2026 19:22,BATCH5013
TXN137,ORD137,2000,INR,CAPTURED,01-09-2026 15:53,01-09-2026 15:53,BATCH5013
TXN138,ORD138,3500,INR,CAPTURED,01-09-2026 21:22,01-09-2026 21:22,BATCH5013
TXN139,ORD139,2400,INR,CAPTURED,01-09-2026 12:44,01-09-2026 12:44,BATCH5013
TXN140,ORD140,20000,INR,CAPTURED,01-09-2026 19:02,01-09-2026 19:02,BATCH5014
TXN141,ORD141,3000,INR,CAPTURED,01-09-2026 18:42,01-09-2026 18:42,BATCH5014
TXN142,ORD142,1000,INR,CAPTURED,01-09-2026 22:37,01-09-2026 22:37,BATCH5014
TXN143,ORD143,3500,INR,CAPTURED,01-09-2026 09:33,01-09-2026 09:34,BATCH5014
TXN144,ORD144,1000,INR,CAPTURED,01-09-2026 19:55,01-09-2026 19:55,BATCH5014
TXN145,ORD145,1800,INR,CAPTURED,01-09-2026 16:39,01-09-2026 16:39,BATCH5014
TXN146,ORD146,2400,INR,CAPTURED,01-09-2026 18:20,01-09-2026 18:20,BATCH5014
TXN147,ORD147,750,INR,CAPTURED,01-09-2026 08:15,01-09-2026 08:15,BATCH5014
TXN148,ORD148,800,INR,CAPTURED,01-09-2026 19:06,01-09-2026 19:06,BATCH5014
TXN149,ORD149,12000,INR,CAPTURED,01-09-2026 15:57,01-09-2026 15:57,BATCH5014
TXN150,ORD150,750,INR,CAPTURED,01-09-2026 15:22,01-09-2026 15:22,BATCH5015
TXN151,ORD151,4200,INR,CAPTURED,01-09-2026 19:36,01-09-2026 19:36,BATCH5015
TXN152,ORD152,800,INR,CAPTURED,01-09-2026 18:39,01-09-2026 18:39,BATCH5015
TXN153,ORD153,6000,INR,CAPTURED,01-09-2026 10:14,01-09-2026 10:14,BATCH5015
TXN154,ORD154,10000,INR,CAPTURED,01-09-2026 06:57,01-09-2026 06:58,BATCH5015
TXN155,ORD155,10000,INR,CAPTURED,01-09-2026 11:04,01-09-2026 11:04,BATCH5015
TXN156,ORD156,8000,INR,CAPTURED,01-09-2026 14:29,01-09-2026 14:30,BATCH5015
TXN157,ORD157,950,INR,CAPTURED,01-09-2026 18:36,01-09-2026 18:36,BATCH5015
TXN158,ORD158,10000,INR,CAPTURED,01-09-2026 14:00,01-09-2026 14:00,BATCH5015
TXN159,ORD159,2000,INR,CAPTURED,01-09-2026 17:14,01-09-2026 17:14,BATCH5015
TXN160,ORD160,8000,INR,CAPTURED,01-09-2026 07:19,01-09-2026 07:20,BATCH5016
TXN161,ORD161,15000,INR,CAPTURED,01-09-2026 08:58,01-09-2026 08:58,BATCH5016
TXN162,ORD162,1250,INR,CAPTURED,01-09-2026 17:33,01-09-2026 17:33,BATCH5016
TXN163,ORD163,4000,INR,CAPTURED,01-09-2026 16:51,01-09-2026 16:51,BATCH5016
TXN164,ORD164,10000,INR,CAPTURED,01-09-2026 17:05,01-09-2026 17:05,BATCH5016
TXN165,ORD165,950,INR,CAPTURED,01-09-2026 17:43,01-09-2026 17:43,BATCH5016
TXN166,ORD166,950,INR,CAPTURED,01-09-2026 21:01,01-09-2026 21:01,BATCH5016
TXN167,ORD167,8000,INR,CAPTURED,01-09-2026 20:58,01-09-2026 20:58,BATCH5016
TXN168,ORD168,1000,INR,CAPTURED,01-09-2026 07:19,01-09-2026 07:19,BATCH5016
TXN169,ORD169,1000,INR,CAPTURED,01-09-2026 20:23,01-09-2026 20:23,BATCH5016
TXN170,ORD170,3300,INR,CAPTURED,01-09-2026 21:39,01-09-2026 21:39,BATCH5017
TXN171,ORD171,1250,INR,CAPTURED,01-09-2026 20:15,01-09-2026 20:16,BATCH5017
TXN172,ORD172,5000,INR,CAPTURED,01-09-2026 07:25,01-09-2026 07:25,BATCH5017
TXN173,ORD173,800,INR,CAPTURED,01-09-2026 06:03,01-09-2026 06:03,BATCH5017
TXN174,ORD174,1250,INR,CAPTURED,01-09-2026 12:37,01-09-2026 12:37,BATCH5017
TXN175,ORD175,7500,INR,CAPTURED,01-09-2026 14:54,01-09-2026 14:54,BATCH5017
TXN176,ORD176,950,INR,CAPTURED,01-09-2026 06:08,01-09-2026 06:08,BATCH5017
TXN177,ORD177,1500,INR,CAPTURED,01-09-2026 16:01,01-09-2026 16:01,BATCH5017
TXN178,ORD178,750,INR,CAPTURED,01-09-2026 10:47,01-09-2026 10:47,BATCH5017
TXN179,ORD179,15000,INR,CAPTURED,01-09-2026 08:30,01-09-2026 08:30,BATCH5017
TXN180,ORD180,4200,INR,CAPTURED,01-09-2026 09:28,01-09-2026 09:28,BATCH5018
TXN181,ORD181,7500,INR,CAPTURED,01-09-2026 07:46,01-09-2026 07:46,BATCH5018
TXN182,ORD182,3500,INR,CAPTURED,01-09-2026 06:03,01-09-2026 06:03,BATCH5018
TXN183,ORD183,3300,INR,CAPTURED,01-09-2026 09:31,01-09-2026 09:31,BATCH5018
TXN184,ORD184,800,INR,CAPTURED,01-09-2026 08:20,01-09-2026 08:20,BATCH5018
TXN185,ORD185,800,INR,CAPTURED,01-09-2026 10:17,01-09-2026 10:17,BATCH5018
TXN186,ORD186,3000,INR,CAPTURED,01-09-2026 22:18,01-09-2026 22:18,BATCH5018
TXN187,ORD187,950,INR,CAPTURED,01-09-2026 09:54,01-09-2026 09:54,BATCH5018
TXN188,ORD188,3300,INR,CAPTURED,01-09-2026 20:56,01-09-2026 20:56,BATCH5018
TXN189,ORD189,2400,INR,CAPTURED,01-09-2026 20:25,01-09-2026 20:25,BATCH5018
TXN190,ORD190,2400,INR,CAPTURED,01-09-2026 19:20,01-09-2026 19:20,BATCH5019
TXN191,ORD191,2750,INR,CAPTURED,01-09-2026 10:43,01-09-2026 10:44,BATCH5019
TXN192,ORD192,800,INR,CAPTURED,01-09-2026 08:53,01-09-2026 08:53,BATCH5019
TXN193,ORD193,3300,INR,CAPTURED,01-09-2026 09:47,01-09-2026 09:47,BATCH5019
TXN194,ORD194,1000,INR,CAPTURED,01-09-2026 07:37,01-09-2026 07:37,BATCH5019
TXN195,ORD195,10000,INR,CAPTURED,01-09-2026 09:26,01-09-2026 09:26,BATCH5019
TXN196,ORD196,15000,INR,FAILED,01-09-2026 07:18,,BATCH5019
TXN197,ORD197,2000,INR,FAILED,01-09-2026 17:06,,BATCH5019
TXN198,ORD198,4200,INR,FAILED,01-09-2026 12:09,,BATCH5019
TXN199,ORD199,4000,INR,FAILED,01-09-2026 13:54,,BATCH5019
TXN200,ORD200,2750,INR,FAILED,01-09-2026 17:07,,BATCH5020
TXN201,ORD201,1800,INR,FAILED,01-09-2026 13:51,,BATCH5020
TXN202,ORD202,5000,INR,FAILED,01-09-2026 06:38,,BATCH5020
TXN203,ORD203,10000,INR,FAILED,01-09-2026 14:01,,BATCH5020
TXN204,ORD204,1800,INR,FAILED,01-09-2026 15:58,,BATCH5020
TXN205,ORD205,2750,INR,FAILED,01-09-2026 06:11,,BATCH5020
TXN206,ORD206,1000,INR,FAILED,01-09-2026 18:04,,BATCH5020
TXN207,ORD207,15000,INR,FAILED,01-09-2026 06:05,,BATCH5020
TXN208,ORD208,4200,INR,FAILED,01-09-2026 12:24,,BATCH5020
TXN209,ORD209,3500,INR,FAILED,01-09-2026 16:10,,BATCH5020
TXN210,ORD210,2000,INR,FAILED,01-09-2026 16:49,,BATCH5021
TXN211,ORD211,7500,INR,FAILED,01-09-2026 08:56,,BATCH5021
TXN212,ORD212,1000,INR,FAILED,01-09-2026 11:48,,BATCH5021
TXN213,ORD213,750,INR,FAILED,01-09-2026 08:17,,BATCH5021
TXN214,ORD214,10000,INR,FAILED,01-09-2026 19:31,,BATCH5021
TXN215,ORD215,3500,INR,FAILED,01-09-2026 19:17,,BATCH5021
TXN216,ORD216,20000,INR,CAPTURED,01-09-2026 22:07,01-09-2026 22:07,BATCH5021
TXN217,ORD217,2000,INR,CAPTURED,01-09-2026 21:33,01-09-2026 21:33,BATCH5021
TXN218,ORD218,1500,INR,CAPTURED,01-09-2026 18:38,01-09-2026 18:38,BATCH5021
TXN219,ORD219,2000,INR,CAPTURED,01-09-2026 12:49,01-09-2026 12:49,BATCH5021
TXN220,ORD220,2400,INR,CAPTURED,01-09-2026 09:00,01-09-2026 09:00,BATCH5022
TXN221,ORD221,1000,INR,CAPTURED,01-09-2026 18:34,01-09-2026 18:34,BATCH5022
TXN222,ORD222,5000,INR,CAPTURED,01-09-2026 17:04,01-09-2026 17:04,BATCH5022
TXN223,ORD223,500,INR,CAPTURED,01-09-2026 20:58,01-09-2026 20:58,BATCH5022
TXN224,ORD224,3300,INR,CAPTURED,01-09-2026 18:45,01-09-2026 18:45,BATCH5022
TXN225,ORD225,950,INR,CAPTURED,01-09-2026 18:01,01-09-2026 18:01,BATCH5022
TXN226,ORD226,7500,INR,CAPTURED,01-09-2026 20:53,01-09-2026 20:53,BATCH5022
TXN227,ORD227,3300,INR,CAPTURED,01-09-2026 09:15,01-09-2026 09:15,BATCH5022
TXN228,ORD228,800,INR,CAPTURED,01-09-2026 18:55,01-09-2026 18:55,BATCH5022
TXN229,ORD229,2400,INR,CAPTURED,01-09-2026 11:04,01-09-2026 11:04,BATCH5022
TXN230,ORD230,4200,INR,CAPTURED,01-09-2026 12:57,01-09-2026 12:57,BATCH5023
TXN231,ORD231,15000,INR,CAPTURED,01-09-2026 10:15,01-09-2026 10:15,BATCH5023
TXN232,ORD232,7500,INR,CAPTURED,01-09-2026 10:48,01-09-2026 10:48,BATCH5023
TXN233,ORD233,3500,INR,CAPTURED,01-09-2026 20:43,01-09-2026 20:44,BATCH5023
TXN234,ORD234,1000,INR,CAPTURED,01-09-2026 20:04,01-09-2026 20:04,BATCH5023
TXN235,ORD235,6000,INR,CAPTURED,01-09-2026 07:22,01-09-2026 07:22,BATCH5023
TXN236,ORD236,750,INR,CAPTURED,01-09-2026 07:23,01-09-2026 07:24,BATCH5023
TXN237,ORD237,7500,INR,CAPTURED,01-09-2026 22:24,01-09-2026 22:24,BATCH5023
TXN238,ORD238,8000,INR,CAPTURED,01-09-2026 12:20,01-09-2026 12:20,BATCH5023
TXN239,ORD239,3500,INR,CAPTURED,01-09-2026 09:51,01-09-2026 09:52,BATCH5023
TXN240,ORD240,8000,INR,CAPTURED,01-09-2026 11:02,01-09-2026 11:02,BATCH5024
TXN241,ORD241,7500,INR,CAPTURED,01-09-2026 11:23,01-09-2026 11:23,BATCH5024
TXN242,ORD242,10000,INR,CAPTURED,01-09-2026 07:50,01-09-2026 07:50,BATCH5024
TXN243,ORD243,5000,INR,CAPTURED,01-09-2026 18:18,01-09-2026 18:18,BATCH5024
TXN244,ORD244,10000,INR,CAPTURED,01-09-2026 10:58,01-09-2026 10:58,BATCH5024
TXN245,ORD245,1000,INR,CAPTURED,01-09-2026 08:19,01-09-2026 08:19,BATCH5024
TXN246,ORD246,1000,INR,CAPTURED,01-09-2026 22:05,01-09-2026 22:05,BATCH5024
TXN247,ORD247,2750,INR,CAPTURED,01-09-2026 06:23,01-09-2026 06:23,BATCH5024
TXN248,ORD248,2400,INR,CAPTURED,01-09-2026 21:12,01-09-2026 21:12,BATCH5024
TXN249,ORD249,800,INR,CAPTURED,01-09-2026 15:54,01-09-2026 15:54,BATCH5024
TXN250,ORD250,20000,INR,CAPTURED,01-09-2026 22:02,01-09-2026 22:02,BATCH5025
TXN251,ORD251,20000,INR,CAPTURED,01-09-2026 10:38,01-09-2026 10:38,BATCH5025
TXN252,ORD252,1200,INR,CAPTURED,01-09-2026 11:46,01-09-2026 11:46,BATCH5025
TXN253,ORD253,2750,INR,CAPTURED,01-09-2026 13:28,01-09-2026 13:28,BATCH5025
TXN254,ORD254,15000,INR,CAPTURED,01-09-2026 20:14,01-09-2026 20:14,BATCH5025
TXN255,ORD255,4000,INR,CAPTURED,01-09-2026 12:23,01-09-2026 12:23,BATCH5025
TXN256,ORD256,20000,INR,CAPTURED,01-09-2026 15:49,01-09-2026 15:49,BATCH5025
TXN257,ORD257,1250,INR,CAPTURED,01-09-2026 10:55,01-09-2026 10:55,BATCH5025
TXN258,ORD258,4000,INR,CAPTURED,01-09-2026 17:35,01-09-2026 17:36,BATCH5025
TXN259,ORD259,4200,INR,CAPTURED,01-09-2026 09:18,01-09-2026 09:18,BATCH5025
TXN260,ORD260,3500,INR,CAPTURED,01-09-2026 22:09,01-09-2026 22:10,BATCH5026
TXN261,ORD261,1500,INR,CAPTURED,01-09-2026 20:56,01-09-2026 20:56,BATCH5026
